Timestamp,CpuTotal,CpuUser,CpuSystem,CpuIow,CpuIrqMemTotal,MemFreePID,Flags,Utime,Stime,Cutime,Cstime,Priority,NumThreads,StartTime,RSS
20181113_075125,,,,,,3731608,163400,30727,1077952832,138,9,0,0,10,30,55188038,30479
20181113_075155,,,,,,3731608,184368,30727,1077952832,9029,142,0,0,10,32,55188038,26038
20181113_075225,,,,,,3731608,183012,30727,1077952832,17790,254,0,0,10,31,55188038,26513
20181113_075255,,,,,,3731608,193152,30727,1077952832,26619,374,0,0,10,31,55188038,26550
20181113_075325,,,,,,3731608,191888,30727,1077952832,35556,489,0,0,10,30,55188038,26427
20181113_075355,,,,,,3731608,201188,30727,1077952832,44506,604,0,0,10,31,55188038,26578
20181113_075425,,,,,,3731608,204424,30727,1077952832,53480,721,0,0,10,30,55188038,26625
20181113_075455,,,,,,3731608,198296,30727,1077952832,62470,836,0,0,10,31,55188038,26684
20181113_075525,,,,,,3731608,198464,30727,1077952832,71259,954,0,0,10,31,55188038,27315
20181113_075555,,,,,,3731608,197384,30727,1077952832,80051,1062,0,0,10,31,55188038,27037
